lemma_review,predict score
 one best ensemble act film ever see much plot act incredible see character change ever subtly influence rent villa italy love happiness film cast mesmerize spell much villa women truly enchant,0.007191292010247707
 write oliver stone direct brian de palma paint picture easily forget al pacino turn stun performance tony cuban become powerful player drug world run self make kingdom crime gangster flick harsh violent loud gross unpleasant must hold record utter word f k number time almost three hours long yes get hearted keep seat cheer demise ruthless crime lord also play interest character michelle pfeiffer steven robert mary elizabeth f murray abraham angel pacino prove one greatest generation manage bring reality character leave strong impression movie everyone leave think walk away disaster powerful enough crime pay long,0.9975475668907166
 waste talent poor semi coherent script cripple film rather unimaginative direction faint echo fargo come,0.9983787536621094
 never bore life hours pretentious self obsess heroin addict case around whine problems like watch even sex scenes induce serious case insomnia rent,0.9990108013153076
 plane flick large choice movies come across live almost accidentally oh boy choice remember vaguely see trailer year ago completely forget expect another cheesy nonsense movie stupid reality show easily say hell ride remember last time excite terrify sure high play sense suspense grow gradually movie reach climax turn away screen literally sit edge seat bite remain nail get first go personal moral stand righteousness show drift think come human vicious ask would learn contestants motives start guess watch pull trigger one one get excite even though know first safe good act good direct movie experience remind old movies know would happen next scene still crave spoilers couple things would change cast contestants really move bite like idea rich writer want famous bite stupid felt like care contestants although might do purpose think audience able associate majority contestants game rule big glitch happen 5th contestants die pull trigger seriously think last stand guy pull trigger execute give chance contestants live ie 5th blank one die bother much bad point cause really good time wish popcorn,0.3058723509311676
 hynkel soldier world war one rise subsequent years become ruthless dictator create war machine little moustache sound like anyone know safety hollywood chaplin use europe take arm defy hitler give unite state 1940 year neutrality ahead strong desire europe civil remember hitler declare war usa way round surprise chaplin allow distribute story involve one hand vulgar hynkel reign terror life jewish ghetto every single person friendly humane brave etc etc chaplin hynkel also play jewish barber little hero ghetto tramp name needle say chaplin write direct star compose music cater 1940 full truth yet know third chaplin forgive something less perfect historical even standards day get hitler badly wrong comedian chaplin try ridicule hitler make hynkel silly hapless hynkel soldier fool around big gun upside become endear rather despicable dictator technical innovations work parachute hat uniform etc passages mean make us think real life nazis incompetent sweep aside fact hynkel regime make cute bumble truth chaplin day already pass make ill consider heart still dinosaur silent screen check humour gag like stagger street semi pantomime coin hero schultz mean represent european decency hynkel judge schultz look like character nazi way believable schultz figure exist would say face cause doom failure build upon stupid ruthless innocent people schultz come jewish ghetto object manhunt wear uniform chaplin yet know full horrors nazi concentration camp offer us hopelessly grim spirit age usual chaplin think term silent comedy set piece loosely onto narrative clothe line stormtroopers man globe watch segment film perfect people ghetto impossibly nice jewish ridiculously quite literally good true brave course beautiful canary ghetto cage cute ask barber give make cute far answer come close ring true chaplin make caricature wonderful speech chaplin put mouth typical author wordy emotionally cloy jack great fascist dictator bring much need comic proceed film underlie weakness remain silly ineffective fear anyway stop start back project train fine example gag far beyond comic worth jewish barber acquire hynkel uniform,7.65132972446736e-06
 see yet really dvd believe much enjoy amazingly realistic believable true much would like know prove facts many handle everything quite well cruel mother nature theme remind nature program see animal planet discovery channel animals dinosaurs act natural eat kill mate play fight survival actually find root others part effect excellent time look little much like cgi see different angle make look realistic case actually convince see dinosaur favorites raptors disappoint rex however look little computer generate time case definitely see production educational well make entertain,0.0013883241917937994
 story show good really depress hate depress movies great really put top notch performance girl play sister really awesome gorgeous seriously think carmen saw imdb profile say anything bad peter one favorite actors love anne rice currently read vampire chronicle glad saw movie read book little real prefer lestat louis witty little struggle slave creepy character movie ruin could barely stand watch rest show sorry ambiguity want give anything away sorry type show,0.9965852499008179
 stereotype plot young fighter try enter competition ready select represent fight school lead separation fight school naturally find strange new master teach fight fight high standards way simple way 1 1 simple every adult fighter train enter ring train get ass kick coach yell success ridiculous beat suddenly tell hit result turn point fight although hero take beat life point think rocky movies good point reference much beat really take fight also shoot poorly final thing screw film stupid romance cheesy music awkward moments call entertainment guy really could make quality entertainment director task crew opinion maybe small budget know matter end movie bad deserve rat 3 10,0.9995421171188354
 find intrigue lee jackie kennedy sister cousin women would encourage make big edie little edie subject film certainly could consider skeletons family closet extra feature dvd include several contemporary fashion designers credit ideas women say anyone interest fashion would find designers fascinate e nut miss something movie hard come netflix though,0.902087390422821
 movie among favorite foreign film others life dog similarities movies many great foreign film take mundane slice life transform profound heartfelt lesson japan man bore mundane life marry life see beautiful japanese woman star window dance studio instant take train pass enthral beauty glance connection discover share shall dance memorable wonderful character deal painful transcend world dance break traditional stereo type japanese society risk happiness find joy far away one movies magical meaningful transcend mundane show true magic miracle life,0.00017782753275241703
 last hard men find jam coburn outlaw long sentence break free chain gang friends head mexican border jail safety coburn mission revenge kill peace officer bring process kill woman peace officer heston retire know coburn explain daughter barbara hershey coburn hole shack involve waco like standoff indian woman kill hail bullets fire something proud manhunt lest feel sorry coburn let us know full well evil man truly heston usual stalwart hero act honor last hard men go jam coburn blow everyone else screen coburn get bright idea make sure heston trail kidnap hershey take indian white authorities touch know heston make personal coburn gang include morgan john larry heston chris mitchum along son law last hard men one nasty brutal western andrew mclaglen direct think may project originally intend sam peckinpaugh sure show lot influence liberal use slow motion accentuate violence lot little peckinpaugh lite last hard men film,0.6334618330001831
 rent think would pretty good cover movie case judge jury start pretty good killer chase man kill wife bike cool gun movie get stupider go david keith awesome actor especially play role like bad movie piece crap really waste talent judge jury well plain dumb give 3 give 2 give extra star david keith gun cool,0.9986948370933533
 formula movie illegitimate son rich stand inherit fortune get mix affairs bad guy fall love beautiful female lawyer vargas look much like tv movie really excite reason bother see valentina vargas real surprise though nice see vargas great look landscape display part small add much movie michael play usual bad guy one memorable part chase scenes standard fare,0.9605785012245178
 episode potential basic premise woman live next door empty apartment phone constantly ring somewhat interest explore noise genuine tension fear stupid script write ruin promise episode first woman readily admit see things would send us run direction e g funny door slam shut even though wind door serious damage minute ago door open without touch etc give supernatural plus fact woman commit suicide room take enter maybe could investigate day time maybe could investigate apartment somebody else maybe could turn light also haunt apartment decide make numerous phone call get argument power phone begin discuss detail suicide phone phone company need involve walk phone case close finally show phone across floor like alive comical director want woman get strangle phone card could do way look brave little anyone,0.9876992702484131
